KGS_ID,Latitude,Longitude,Location,Operator,Lease,API,API_NUM_NODASH,Elevation,Elev_Ref,Depth_start,Depth_stop,URL,url_year,key
1044140511,38.1094754,-101.0450363,"T22S R34W, Sec. 27,  SW SE NW SW","Oxy USA, Inc.",Bosworth 'B' 2,15-055-22172,15055221720000.0,2958.0, KB,4550.0,4993.0,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2014/1044956333.las,2014.0,1044140511|15055221720000.0
1006053200,38.1104799,-101.0417834,"T22S R34W, Sec. 27,   W2 NE SW","Oxy USA, Inc.",Bailey 'C' 2,15-055-21120,15055211200000.0,2957.0, KB,1880.0,4832.0,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/22S34W/1001178953.las,,1006053200|15055211200000.0
1006053614,38.1058782,-101.0531736,"T22S R34W, Sec. 28,   SE SW SE",McCoy Petroleum Corp.,Anderson 'A' 2-28,15-055-21352,15055213520000.0,2962.0, KB,76.5,4842.0,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/22S34W/1001178942.las,,1006053614|15055213520000.0
1006053567,38.1142154,-101.0544548,"T22S R34W, Sec. 28,    SW NE",McCoy Petroleum Corp.,Anderson 'A' 1-28,15-055-21320,15055213200000.0,2963.0, KB,3754.0,4875.0,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/22S34W/1006347344.las,,1006053567|15055213200000.0
1055072855,38.1137041,-101.0505959,"T22S R34W, Sec. 28,  NE SW SE NE",BEREXCO LLC,ANDERSON 2-28,15-055-22617,15055226170000.0,2959.0, KB,1645.0,4905.0,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2025/1055879349.las,2025.0,1055072855|15055226170000.0
1056600749,38.1178253,-101.09943,"T22S R34W, Sec. 30,  SE NE NW NW","Knighton Oil Company, Inc.",ESKELUND 1-30,15-055-22639,15055226390000.0,2999.0, KB,0.0,4937.0,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2025/1056969697.las,2025.0,1056600749|15055226390000.0
1052678012,38.11847,-101.0880293,"T22S R34W, Sec. 30,  E2 NW NE NE","Palomino Petroleum, Inc.",THE OTHER SIDE OF THE WIND 1,15-055-22567,15055225670000.0,2992.0, KB,0.0,4876.0,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2024/1055355995.las,2024.0,1052678012|15055225670000.0
1006053551,38.1041551,-101.0486565,"T22S R34W, Sec. 33,  NW NE NE NE",McCoy Petroleum Corp.,Cook 'P' 1-33,15-055-21312,15055213120000.0,2961.0, KB,3744.0,4847.5,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/22S34W/1006347342.las,,1006053551|15055213120000.0
1006053742,38.1005251,-101.0485852,"T22S R34W, Sec. 33,  NW NE SE NE",McCoy Petroleum Corp.,Cook 'P' 2-33,15-055-21419,15055214190000.0,2963.0, KB,93.0,4861.0,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/22S34W/1001178945.las,,1006053742|15055214190000.0
1006053042,38.093314,-101.0369693,"T22S R34W, Sec. 34,   NW SW SE","Berexco, Inc.",Mike Rome 2-34,15-055-21036,15055210360000.0,2956.0, KB,3729.0,4796.0,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/22_34W/1001349476.las,,1006053042|15055210360000.0
1006053142,38.0987662,-101.0324405,"T22S R34W, Sec. 34,   SW SE NE","Oxy USA, Inc.",Henselmann 'A' 2,15-055-21090,15055210900000.0,2953.0, KB,1900.0,4972.0,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/22_34W/1001179025.las,,1006053142|15055210900000.0
1006053170,38.1023757,-101.0370648,"T22S R34W, Sec. 34,   SW NW NE","Oxy USA, Inc.",Henselmann 'A' 3,15-055-21105,15055211050000.0,2953.0, KB,1845.0,4974.0,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/22_34W/1001179026.las,,1006053170|15055211050000.0
1006053062,38.0923964,-101.0403994,"T22S R34W, Sec. 34,    SE SW","Berexco, Inc.",Ruby Jean 1-34,15-055-21047,15055210470000.0,2960.0, KB,3744.0,4850.0,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/22_34W/1001349477.las,,1006053062|15055210470000.0
